B,G,R,class
179,177,129,normal
199,208,252,anomaly
75,70,49,normal
183,183,137,normal
186,184,143,normal
151,189,253,anomaly
62,59,15,normal
148,190,255,anomaly
179,177,129,normal
140,143,97,normal
31,76,50,normal
178,175,131,normal
153,152,102,normal
33,114,255,normal
155,152,101,normal
199,197,162,normal
110,110,86,normal
135,137,95,normal
139,179,244,anomaly
88,132,215,anomaly
72,74,38,normal
232,218,88,normal
255,255,255,normal
39,160,80,normal
162,159,114,normal
86,88,36,normal
132,135,86,normal
54,55,15,normal
103,149,226,anomaly
57,122,183,anomaly
157,161,126,normal
191,190,146,normal
112,115,65,normal
197,195,160,normal
165,181,227,anomaly
66,134,193,anomaly
204,203,169,normal
105,109,162,anomaly
193,191,151,normal
181,162,129,normal
8,3,5,normal
143,145,93,normal
38,94,65,normal
14,14,0,normal
172,182,236,anomaly
62,63,21,normal
71,73,27,normal
198,124,68,normal
164,162,114,normal
163,160,109,normal
82,46,252,normal
63,62,24,normal
47,43,42,normal
158,160,118,normal
175,186,236,anomaly
120,123,178,anomaly
189,187,157,normal
173,175,129,normal
145,183,247,anomaly
199,199,159,normal
0,0,165,normal
128,128,88,normal
128,128,128,normal
129,132,86,normal
178,175,131,normal
196,195,157,normal
179,195,237,anomaly
118,69,91,normal
155,161,126,normal
83,30,17,normal
94,143,223,anomaly
103,147,206,anomaly
11,11,5,normal
194,192,152,normal
66,66,26,normal
70,111,190,anomaly
33,17,125,normal
63,66,27,normal
157,161,126,normal
144,156,220,anomaly
117,144,171,anomaly
179,176,131,normal
165,181,228,anomaly
204,203,169,normal
97,200,195,normal
170,169,118,normal
153,171,236,anomaly
205,213,213,normal
165,181,234,anomaly
202,200,165,normal
253,252,255,normal
185,184,140,normal
181,179,138,normal
128,154,221,anomaly
150,186,255,anomaly
188,162,146,normal
196,182,140,normal
175,172,127,normal
65,66,22,normal
119,139,164,anomaly
8,3,2,normal
198,197,163,normal
54,104,157,anomaly
181,179,139,normal
201,200,162,normal
101,94,155,normal
175,144,99,normal
49,49,25,normal
13,14,5,normal
84,93,131,anomaly
184,184,138,normal
171,185,238,anomaly
142,140,86,normal
51,50,29,normal
180,177,132,normal
128,128,128,normal
170,169,119,normal
101,104,78,normal
163,177,230,anomaly
106,143,201,anomaly
208,217,255,anomaly
167,167,119,normal
96,145,225,anomaly
143,139,91,normal
179,176,131,normal
75,76,36,normal
80,76,27,normal
165,161,112,normal
92,10,0,normal
38,37,9,normal
183,180,136,normal
109,153,207,anomaly
198,197,159,normal
165,163,115,normal
104,109,48,normal
179,177,129,normal
172,188,231,anomaly
188,186,146,normal
182,180,132,normal
53,57,22,normal
174,172,124,normal
157,161,125,normal
81,116,190,anomaly
149,151,105,normal
165,163,115,normal
200,198,163,normal
7,7,1,normal
184,181,136,normal
62,63,19,normal
163,162,112,normal
26,8,0,normal
180,180,134,normal
182,179,135,normal
140,138,84,normal
53,53,53,normal
168,184,230,anomaly
91,69,248,normal
195,195,155,normal
165,164,113,normal
57,103,255,normal
177,177,129,normal
169,183,236,anomaly
121,120,62,normal
0,0,0,normal
163,167,132,normal
227,238,242,normal
146,189,252,anomaly
182,179,135,normal
53,54,12,normal
55,56,24,normal
90,122,188,anomaly
144,183,251,anomaly
197,195,161,normal
178,178,132,normal
177,175,127,normal
161,178,221,anomaly
173,170,125,normal
52,56,21,normal
57,60,15,normal
180,180,134,normal
161,159,105,normal
111,93,86,normal
199,198,160,normal
247,249,249,normal
174,169,124,normal
45,46,12,normal
15,16,14,normal
165,164,114,normal
106,155,225,anomaly
2,2,0,normal
181,178,134,normal
30,31,22,normal
42,43,41,normal
108,153,214,anomaly
126,126,126,normal
19,23,4,normal
171,170,119,normal
171,170,120,normal
177,175,127,normal
85,88,39,normal
179,178,134,normal
174,172,124,normal
183,178,133,normal
78,84,129,anomaly
3,3,0,normal
177,175,127,normal
139,142,93,normal
126,125,67,normal
111,58,72,normal
157,161,125,normal
186,185,141,normal
178,175,131,normal
4,2,1,normal
162,183,245,anomaly
179,176,131,normal
61,47,203,normal
127,167,219,anomaly
155,157,111,normal
147,148,98,normal
107,142,208,anomaly
84,92,132,anomaly
185,100,144,normal
181,178,134,normal
183,180,135,normal
192,188,169,normal
123,161,215,anomaly
158,162,121,normal
53,53,53,normal
25,29,17,normal
193,195,159,normal
35,34,6,normal
127,135,194,anomaly
109,108,58,normal
52,111,173,anomaly
63,68,23,normal
144,181,225,anomaly
55,59,24,normal
181,178,134,normal
73,75,33,normal
0,4,0,normal
91,91,45,normal
60,62,42,normal
232,208,226,normal
76,130,185,anomaly
19,17,9,normal
14,14,2,normal
171,181,228,anomaly
80,86,131,anomaly
51,52,18,normal
93,142,218,anomaly
16,15,1,normal
179,178,128,normal
141,140,82,normal
195,194,166,normal
112,215,210,normal
138,140,88,normal
107,106,48,normal
241,194,180,normal
184,183,139,normal
166,162,113,normal
120,157,219,anomaly
103,143,202,anomaly
180,177,132,normal
126,158,224,anomaly
141,142,103,normal
199,197,162,normal
138,89,109,normal
52,104,150,anomaly
173,172,122,normal
99,134,200,anomaly
166,166,118,normal
51,68,131,anomaly
172,188,231,anomaly
86,89,34,normal
142,144,92,normal
95,135,207,anomaly
174,189,235,anomaly
100,152,223,anomaly
200,198,163,normal
78,81,32,normal
216,200,193,normal
144,76,101,normal
90,96,149,anomaly
180,178,137,normal
132,135,89,normal
116,118,72,normal
142,148,213,normal
244,176,169,normal
126,126,126,normal
0,2,184,normal
177,168,130,normal
75,78,32,normal
51,52,18,normal
147,148,98,normal
100,142,217,anomaly
61,63,21,normal
154,169,225,anomaly
65,67,25,normal
140,139,101,normal
183,180,135,normal
158,161,115,normal
65,125,185,anomaly
178,179,135,normal
199,197,162,normal
122,155,224,anomaly
163,165,129,normal
174,171,127,normal
91,89,35,normal
201,200,162,normal
201,199,164,normal
201,200,162,normal
94,140,218,anomaly
175,176,137,normal
94,197,192,normal
81,89,129,anomaly
89,67,246,normal
44,93,139,anomaly
214,197,188,normal
199,197,162,normal
106,143,201,anomaly
112,220,244,normal
20,17,2,normal
148,160,224,anomaly
167,163,114,normal
37,33,4,normal
162,164,118,normal
182,177,138,normal
128,130,184,anomaly
53,57,22,normal
121,158,226,anomaly
39,91,144,anomaly
149,151,105,normal
168,169,119,normal
75,78,29,normal
180,179,135,normal
120,158,212,anomaly
64,60,41,normal
128,130,84,normal
178,175,130,normal
38,39,5,normal
204,202,168,normal
6,158,33,normal
131,137,190,anomaly
177,174,129,normal
53,94,139,anomaly
181,181,133,normal
121,201,202,normal
180,180,134,normal
68,70,24,normal
197,196,158,normal
98,133,201,anomaly
172,171,121,normal
178,176,128,normal
169,167,119,normal
31,28,7,normal
201,200,162,normal
14,13,0,normal
91,138,219,anomaly
135,137,95,normal
179,176,131,normal
85,84,28,normal
179,174,135,normal
117,114,59,normal
85,46,255,normal
133,162,213,anomaly
184,181,137,normal
34,33,7,normal
157,156,105,normal
182,178,129,normal
91,136,217,anomaly
97,141,195,anomaly
129,171,218,anomaly
137,113,95,normal
119,159,212,anomaly
139,140,90,normal
162,175,227,anomaly
0,23,147,normal
160,177,233,anomaly
157,161,125,normal
49,46,239,normal
188,164,122,normal
114,117,62,normal
90,68,247,normal
202,200,165,normal
47,104,156,anomaly
97,137,202,anomaly
31,29,28,normal
17,8,189,normal
180,179,135,normal
54,121,182,anomaly
53,73,128,anomaly
68,70,24,normal
50,105,150,anomaly
175,166,116,normal
187,185,144,normal
134,134,86,normal
166,166,118,normal
70,67,22,normal
69,71,25,normal
116,153,211,anomaly
120,123,73,normal
139,75,94,normal
198,198,158,normal
179,179,133,normal
142,140,86,normal
84,122,200,anomaly
13,12,8,normal
0,0,0,normal
133,136,90,normal
145,185,250,anomaly
163,164,114,normal
36,80,57,normal
197,195,160,normal
197,195,164,normal
177,175,121,normal
56,107,170,anomaly
225,210,87,normal
164,164,116,normal
15,14,0,normal
153,156,111,normal
180,180,134,normal
150,151,101,normal
53,57,22,normal
255,255,255,normal
59,63,22,normal
52,104,164,anomaly
64,111,167,anomaly
182,179,135,normal
179,179,133,normal
7,7,0,normal
196,194,159,normal
6,7,0,normal
168,165,114,normal
143,146,97,normal
139,139,85,normal
188,186,146,normal
140,177,233,anomaly
198,198,158,normal
54,55,21,normal
119,156,224,anomaly
3,0,172,normal
45,67,119,anomaly
165,163,115,normal
201,213,255,anomaly
33,32,4,normal
146,144,90,normal
54,55,21,normal
81,90,128,anomaly
163,180,237,anomaly
143,189,116,normal
98,148,220,anomaly
183,182,138,normal
192,192,152,normal
163,161,113,normal
214,227,229,normal
22,16,3,normal
79,121,198,anomaly
198,197,159,normal
23,32,22,normal
149,185,255,anomaly
59,59,13,normal
208,219,255,anomaly
40,36,8,normal
204,202,168,normal
161,196,229,anomaly
140,143,94,normal
176,143,97,normal
164,168,116,normal
41,42,8,normal
18,12,0,normal
203,214,255,anomaly
67,69,23,normal
45,46,7,normal
173,172,122,normal
127,166,218,anomaly
132,164,229,anomaly
141,139,91,normal
188,144,150,normal
176,169,130,normal
119,161,214,anomaly
128,140,90,normal
201,200,162,normal
150,190,255,anomaly
80,50,209,normal
0,255,0,normal
200,198,163,normal
62,67,36,normal
111,112,56,normal
116,115,57,normal
61,117,172,anomaly
165,176,174,normal
177,215,173,normal
145,187,252,anomaly
182,178,137,normal
158,195,255,anomaly
180,178,130,normal
179,176,131,normal
248,250,250,normal
13,17,11,normal
57,58,14,normal
179,178,134,normal
168,184,230,anomaly
178,175,131,normal
71,74,28,normal
188,179,136,normal
48,255,255,normal
202,200,165,normal
42,65,110,anomaly
24,201,246,normal
54,60,19,normal
63,68,23,normal
53,54,20,normal
143,186,243,anomaly
171,169,121,normal
96,133,201,anomaly
182,179,135,normal
159,160,116,normal
68,70,28,normal
189,190,146,normal
70,122,188,anomaly
65,66,32,normal
181,178,133,normal
81,91,131,anomaly
165,165,117,normal
142,183,252,anomaly
69,71,25,normal
135,145,85,normal
150,166,232,anomaly
131,182,48,normal
11,255,252,normal
133,130,75,normal
142,140,86,normal
48,102,155,anomaly
205,216,254,anomaly
180,183,134,normal
55,57,15,normal
10,9,5,normal
255,128,0,normal
171,170,120,normal
140,139,89,normal
55,59,24,normal
55,56,16,normal
105,148,215,anomaly
171,185,238,anomaly
53,57,22,normal
164,163,113,normal
24,50,27,normal
146,164,229,anomaly
9,9,0,normal
92,93,37,normal
61,65,24,normal
91,136,217,anomaly
168,184,227,anomaly
226,210,197,normal
9,13,8,normal
138,139,89,normal
4,3,0,normal
154,168,234,anomaly
53,56,17,normal
188,185,147,normal
39,99,153,anomaly
15,14,10,normal
164,163,113,normal
67,67,19,normal
213,221,220,normal
109,137,172,anomaly
32,33,7,normal
179,179,131,normal
137,135,81,normal
50,70,128,anomaly
64,69,24,normal
112,142,207,anomaly
171,170,120,normal
86,187,185,normal
123,126,181,anomaly
131,133,87,normal
164,162,114,normal
75,77,35,normal
53,92,137,anomaly
99,200,198,normal
177,174,129,normal
95,142,216,anomaly
184,185,143,normal
167,182,231,anomaly
26,52,28,normal
177,194,237,anomaly
174,174,128,normal
53,57,21,normal
156,157,113,normal
170,168,120,normal
51,104,167,anomaly
140,180,245,anomaly
165,163,115,normal
40,92,145,anomaly
152,190,254,anomaly
177,177,129,normal
63,81,144,anomaly
16,14,3,normal
138,140,88,normal
127,130,85,normal
200,195,162,normal
234,214,233,normal
32,33,7,normal
120,116,63,normal
57,60,21,normal
35,38,6,normal
15,14,0,normal
161,158,107,normal
205,216,255,anomaly
100,148,220,anomaly
124,75,5,normal
211,219,255,anomaly
9,7,7,normal
181,180,142,normal
154,160,119,normal
178,175,130,normal
196,195,157,normal
16,14,3,normal
201,200,162,normal
178,176,128,normal
50,108,160,anomaly
171,170,120,normal
35,101,255,normal
255,255,255,normal
165,164,114,normal
39,39,9,normal
31,26,118,normal
35,34,8,normal
32,33,7,normal
90,64,241,normal
175,137,43,normal
53,46,237,normal
174,177,128,normal
179,177,129,normal
120,147,221,anomaly
62,63,21,normal
248,250,250,normal
182,179,135,normal
45,51,16,normal
62,63,21,normal
200,198,163,normal
177,177,129,normal
101,135,194,anomaly
108,210,205,normal
58,59,19,normal
15,14,0,normal
78,48,197,normal
109,113,166,anomaly
45,103,155,anomaly
164,162,114,normal
201,200,162,normal
120,124,72,normal
3,2,4,normal
139,140,90,normal
62,108,172,anomaly
159,167,226,anomaly
163,164,114,normal
191,189,149,normal
56,61,22,normal
34,33,19,normal
164,163,113,normal
62,67,22,normal
158,166,225,anomaly
195,194,156,normal
175,173,125,normal
86,31,22,normal
10,46,32,normal
194,193,165,normal
179,177,129,normal
136,139,90,normal
203,213,253,anomaly
148,191,248,anomaly
35,37,8,normal
164,178,231,anomaly
137,142,197,anomaly
138,178,227,anomaly
50,100,152,anomaly
112,230,249,normal
13,7,186,normal
205,204,170,normal
138,174,220,anomaly
151,162,230,anomaly
167,163,115,normal
144,143,87,normal
101,147,224,anomaly
92,10,0,normal
138,141,92,normal
183,181,133,normal
32,34,5,normal
177,195,236,anomaly
197,195,160,normal
210,169,214,normal
149,191,250,anomaly
193,194,150,normal
182,181,137,normal
157,161,125,normal
168,182,234,anomaly
160,158,110,normal
170,169,119,normal
140,138,97,normal
99,144,218,anomaly
19,15,4,normal
127,165,219,anomaly
16,14,3,normal
195,194,156,normal
151,186,242,anomaly
199,198,160,normal
55,56,24,normal
175,173,125,normal
80,87,130,anomaly
11,11,5,normal
99,100,44,normal
61,65,24,normal
65,128,189,anomaly
255,255,255,normal
178,175,131,normal
190,188,148,normal
74,128,199,anomaly
154,159,120,normal
32,33,7,normal
70,72,26,normal
0,0,0,normal
161,164,125,normal
201,200,162,normal
53,56,11,normal
172,171,121,normal
181,178,133,normal
178,176,128,normal
78,74,26,normal
173,171,123,normal
153,194,255,anomaly
60,127,196,anomaly
180,178,137,normal
129,82,90,normal
68,69,25,normal
128,130,88,normal
199,197,162,normal
193,192,154,normal
182,182,136,normal
161,162,112,normal
104,102,44,normal
143,145,93,normal
131,131,71,normal
183,182,138,normal
97,124,181,anomaly
62,107,158,anomaly
173,171,123,normal
68,69,25,normal
181,178,133,normal
148,184,224,anomaly
134,134,98,normal
255,254,253,normal
175,173,125,normal
53,54,14,normal
171,169,121,normal
69,71,25,normal
4,5,0,normal
171,171,159,normal
173,192,237,anomaly
81,91,75,normal
136,176,225,anomaly
173,173,127,normal
112,223,245,normal
119,121,175,anomaly
200,198,163,normal
203,201,166,normal
156,176,224,anomaly
3,158,245,normal
161,160,109,normal
76,79,29,normal
44,45,11,normal
52,53,13,normal
167,169,117,normal
171,170,119,normal
136,139,90,normal
35,33,9,normal
243,242,238,normal
34,33,7,normal
63,63,23,normal
131,162,231,anomaly
140,140,86,normal
174,176,130,normal
178,177,127,normal
60,56,211,normal
165,160,135,normal
195,194,156,normal
151,154,105,normal
181,179,131,normal
53,56,24,normal
71,162,129,normal
198,196,161,normal
138,140,118,normal
70,89,127,anomaly
164,162,114,normal
77,80,31,normal
147,168,220,anomaly
116,156,209,anomaly
132,135,90,normal
182,179,135,normal
109,107,107,normal
132,164,230,anomaly
52,56,21,normal
138,136,95,normal
20,17,2,normal
22,52,47,normal
104,146,213,anomaly
53,56,24,normal
236,131,118,normal
171,170,119,normal
142,177,221,anomaly
184,183,139,normal
47,99,146,anomaly
156,155,99,normal
182,197,243,anomaly
136,139,83,normal
165,164,114,normal
202,200,165,normal
151,171,22,normal
150,171,232,anomaly
157,194,255,anomaly
177,174,129,normal
136,139,90,normal
68,23,9,normal
180,177,132,normal
136,173,223,anomaly
150,188,253,anomaly
169,169,123,normal
137,139,93,normal
132,134,135,normal
108,98,80,normal
196,195,157,normal
144,184,249,anomaly
82,90,130,anomaly
56,58,22,normal
159,194,227,anomaly
137,137,137,normal
43,162,87,normal
138,140,88,normal
83,83,29,normal
65,66,24,normal
161,166,134,normal
107,108,76,normal
30,74,61,normal
135,137,101,normal
172,171,121,normal
60,122,254,normal
205,216,254,anomaly
71,72,28,normal
70,81,43,normal
109,10,110,normal
129,129,129,normal
191,190,152,normal
174,174,128,normal
181,111,171,normal
202,210,255,anomaly
66,52,24,normal
177,176,132,normal
199,197,162,normal
48,90,135,anomaly
3,4,0,normal
178,175,131,normal
118,144,220,anomaly
83,55,214,normal
19,12,0,normal
31,32,6,normal
107,117,225,normal
0,139,106,normal
131,134,89,normal
137,136,78,normal
136,139,90,normal
160,175,224,anomaly
57,57,57,normal
167,178,228,anomaly
181,184,135,normal
15,15,1,normal
39,40,1,normal
121,169,235,anomaly
71,131,197,anomaly
13,11,10,normal
229,213,206,normal
180,179,135,normal
68,69,27,normal
168,166,112,normal
102,147,220,anomaly
193,192,154,normal
61,65,24,normal
16,7,188,normal
32,76,117,anomaly
77,81,40,normal
148,188,253,anomaly
128,130,88,normal
112,111,53,normal
180,177,133,normal
41,94,151,anomaly
198,212,210,normal
164,190,236,anomaly
111,110,54,normal
38,86,144,anomaly
52,97,148,anomaly
101,136,199,anomaly
252,254,254,normal
11,4,185,normal
3,2,0,normal
98,129,198,anomaly
178,176,128,normal
91,89,35,normal
57,59,23,normal
162,165,126,normal
193,191,156,normal
120,128,187,anomaly
95,153,225,anomaly
115,156,211,anomaly
183,179,138,normal
117,146,123,normal
199,195,160,normal
185,183,149,normal
76,73,28,normal
207,191,179,normal
164,162,114,normal
206,215,253,anomaly
132,174,233,anomaly
47,50,24,normal
93,89,148,normal
130,129,73,normal
134,174,226,anomaly
77,33,16,normal
172,173,129,normal
50,107,163,anomaly
204,202,168,normal
163,164,125,normal
109,108,50,normal
6,3,0,normal
51,122,255,normal
187,182,137,normal
83,39,252,normal
167,163,114,normal
195,121,179,normal
3,3,0,normal
9,10,8,normal
49,52,30,normal
105,102,57,normal
79,53,207,normal
73,83,123,anomaly
164,164,116,normal
169,107,185,normal
138,139,89,normal
54,100,148,anomaly
51,46,239,normal
33,34,8,normal
10,8,7,normal
118,120,90,normal
179,179,133,normal
101,149,227,anomaly
49,93,140,anomaly
201,200,162,normal
63,130,199,anomaly
108,62,68,normal
172,173,129,normal
15,15,1,normal
81,120,195,anomaly
5,3,2,normal
175,179,138,normal
129,169,221,anomaly
192,191,153,normal
186,187,145,normal
203,211,251,anomaly
143,145,93,normal
175,174,124,normal
65,65,25,normal
154,192,255,anomaly
159,122,38,normal
191,189,148,normal
198,198,158,normal
3,2,6,normal
167,163,114,normal
59,104,155,anomaly
135,136,92,normal
4,0,72,normal
255,247,191,normal
3,185,1,normal
64,65,15,normal
180,179,135,normal
146,179,224,anomaly
16,50,40,normal
175,173,125,normal
51,50,12,normal
111,152,214,anomaly
179,176,131,normal
4,3,0,normal
170,168,127,normal
171,184,236,anomaly
50,52,16,normal
52,45,236,normal
167,163,114,normal
141,140,89,normal
33,35,6,normal
174,190,237,anomaly
195,194,156,normal
67,110,167,anomaly
153,193,255,anomaly
174,176,140,normal
145,147,95,normal
128,149,176,anomaly
181,180,136,normal
182,179,135,normal
179,178,134,normal
47,46,8,normal
77,80,35,normal
177,174,129,normal
165,166,116,normal
200,198,163,normal
124,155,224,anomaly
158,162,127,normal
63,68,36,normal
55,101,149,anomaly
143,145,93,normal
96,81,65,normal
255,254,254,normal
154,152,104,normal
180,179,135,normal
58,115,176,anomaly
49,107,159,anomaly
180,177,133,normal
135,138,83,normal
131,131,131,normal
135,163,228,anomaly
52,53,19,normal
122,122,122,normal
147,149,129,normal
98,144,222,anomaly
85,85,37,normal
19,191,243,normal
152,190,255,anomaly
165,167,115,normal
201,199,164,normal
174,170,121,normal
145,147,105,normal
66,69,24,normal
173,172,122,normal
35,35,5,normal
54,55,21,normal
172,172,126,normal
16,14,3,normal
155,158,108,normal
200,195,164,normal
141,140,82,normal
197,195,160,normal
138,141,96,normal
48,108,162,anomaly
62,98,144,anomaly
158,156,102,normal
164,163,113,normal
79,82,33,normal
112,110,62,normal
132,131,97,normal
178,175,131,normal
94,90,149,normal
192,191,153,normal
140,142,90,normal
54,54,40,normal
179,178,134,normal
178,175,130,normal
99,102,47,normal
170,166,125,normal
30,59,36,normal
171,170,120,normal
180,179,135,normal
179,176,131,normal
168,113,98,normal
153,193,255,anomaly
63,103,255,normal
162,178,224,anomaly
196,195,157,normal
54,55,23,normal
255,0,0,normal
7,255,254,normal
115,148,217,anomaly
172,171,121,normal
148,146,92,normal
180,179,135,normal
142,141,85,normal
20,17,3,normal
123,152,106,normal
53,111,170,anomaly
136,141,90,normal
120,118,84,normal
172,168,120,normal
158,195,255,anomaly
175,191,233,anomaly
119,125,178,anomaly
152,190,254,anomaly
125,143,172,anomaly
171,171,125,normal
0,134,104,normal
179,176,131,normal
129,132,187,anomaly
164,162,114,normal
128,128,128,normal
100,98,44,normal
38,41,25,normal
233,189,152,normal
116,114,83,normal
53,22,227,normal
141,140,112,normal
22,44,20,normal
136,139,90,normal
180,177,132,normal
17,15,7,normal
165,164,114,normal
193,193,147,normal
180,177,132,normal
13,9,8,normal
173,193,248,anomaly
132,133,191,anomaly
108,229,249,normal
49,86,60,normal
178,175,130,normal
0,128,0,normal
54,54,18,normal
33,34,8,normal
4,8,3,normal
74,77,31,normal
168,167,116,normal
7,7,1,normal
65,82,49,normal
164,163,113,normal
94,87,148,normal
106,87,106,normal
55,95,148,anomaly
131,131,95,normal
242,229,221,normal
179,176,132,normal
179,176,132,normal
185,184,140,normal
206,205,171,normal
68,72,31,normal
44,97,147,anomaly
178,175,131,normal
197,98,124,normal
157,161,126,normal
178,178,138,normal
173,172,121,normal
178,179,135,normal
73,112,187,anomaly
188,189,150,normal
64,68,56,normal
117,146,43,normal
177,177,131,normal
129,132,100,normal
140,139,88,normal
173,172,122,normal
149,149,101,normal
147,186,248,anomaly
164,164,118,normal
127,164,220,anomaly
98,35,14,normal
167,167,131,normal
42,41,3,normal
120,167,229,anomaly
170,167,123,normal
101,100,44,normal
203,211,255,anomaly
94,87,54,normal
63,66,16,normal
200,198,163,normal
183,181,133,normal
60,63,47,normal
22,22,6,normal
183,181,133,normal
53,57,22,normal
194,193,155,normal
144,143,85,normal
39,83,137,anomaly
147,137,97,normal
159,161,125,normal
222,220,210,normal
61,70,27,normal
41,112,79,normal
116,119,70,normal
5,4,0,normal
0,21,150,normal
190,188,148,normal
178,173,128,normal
196,122,68,normal
198,156,113,normal
172,174,138,normal
119,123,176,anomaly
175,171,130,normal
2,2,0,normal
99,75,47,normal
240,228,224,normal
163,163,115,normal
171,170,119,normal
98,141,220,anomaly
168,170,124,normal
163,161,107,normal
193,192,154,normal
179,175,134,normal
180,180,132,normal
181,177,129,normal
39,102,246,normal
148,149,105,normal
63,111,175,anomaly
170,168,120,normal
98,177,144,normal
45,92,146,anomaly
201,200,162,normal
140,184,248,anomaly
35,37,7,normal
1,4,2,normal
196,195,157,normal
141,182,245,anomaly
177,174,129,normal
150,153,108,normal
130,132,186,anomaly
175,171,130,normal
191,190,146,normal
167,167,119,normal
4,0,185,normal
85,132,213,anomaly
180,179,135,normal
164,162,114,normal
172,168,120,normal
48,96,148,anomaly
146,145,89,normal
210,217,250,anomaly
0,255,255,normal
52,72,129,anomaly
170,171,129,normal
175,172,127,normal
23,18,3,normal
182,172,124,normal
201,200,162,normal
137,139,87,normal
4,1,0,normal
8,7,3,normal
68,69,25,normal
33,33,9,normal
44,45,11,normal
253,255,255,normal
155,175,232,anomaly
200,198,163,normal
110,114,167,anomaly
87,183,237,normal
103,107,160,anomaly
61,62,22,normal
159,172,234,anomaly
179,177,129,normal
171,172,138,normal
33,41,41,normal
14,10,236,normal
134,135,101,normal
91,136,217,anomaly
157,194,255,anomaly
160,165,126,normal
1,4,2,normal
0,0,189,normal
201,200,162,normal
96,146,222,anomaly
20,19,5,normal
98,147,221,anomaly
181,178,134,normal
77,75,51,normal
180,177,132,normal
165,164,114,normal
76,76,28,normal
47,93,140,anomaly
93,92,41,normal
200,199,161,normal
227,222,223,normal
35,36,34,normal
136,139,90,normal
148,167,21,normal
57,118,184,anomaly
155,156,124,normal
158,158,104,normal
148,152,111,normal
172,171,121,normal
172,168,119,normal
14,16,10,normal
201,200,162,normal
152,156,115,normal
72,68,44,normal
138,138,90,normal
176,174,126,normal
132,136,100,normal
120,123,178,anomaly
178,175,130,normal
172,141,96,normal
181,181,133,normal
117,116,58,normal
52,53,19,normal
108,142,202,anomaly
133,128,113,normal
173,172,122,normal
25,110,255,normal
67,69,23,normal
110,113,64,normal
178,178,132,normal
180,178,130,normal
59,63,22,normal
178,175,130,normal
0,0,0,normal
186,182,134,normal
178,175,130,normal
165,164,114,normal
53,24,217,normal
57,57,17,normal
78,115,189,anomaly
181,181,141,normal
166,163,112,normal
130,8,132,normal
197,196,158,normal
145,146,90,normal
207,216,254,anomaly
157,66,159,normal
201,200,162,normal
31,31,7,normal
160,163,124,normal
159,194,255,anomaly
174,193,238,anomaly
163,162,112,normal
64,63,29,normal
171,180,124,normal
167,163,115,normal
40,98,150,anomaly
97,90,151,normal
34,36,7,normal
165,163,115,normal
150,147,96,normal
80,52,212,normal
185,184,140,normal
135,138,89,normal
164,164,116,normal
167,166,115,normal
182,180,132,normal
194,194,154,normal
186,189,163,normal
108,144,208,anomaly
180,177,132,normal
138,139,89,normal
76,85,129,anomaly
67,68,24,normal
114,146,205,anomaly
116,115,57,normal
121,153,218,anomaly
69,66,21,normal
146,179,242,anomaly
140,141,99,normal
166,182,99,normal
180,178,130,normal
144,141,97,normal
0,191,1,normal
198,207,251,anomaly
137,164,228,anomaly
108,94,106,normal
149,193,254,anomaly
179,177,129,normal
188,186,146,normal
39,39,9,normal
11,9,1,normal
143,146,97,normal
172,172,126,normal
51,53,17,normal
194,195,153,normal
156,160,125,normal
18,17,13,normal
67,67,21,normal
142,147,96,normal
197,196,158,normal
198,195,164,normal
171,172,128,normal
162,162,114,normal
54,54,14,normal
0,20,146,normal
135,198,136,normal
75,91,128,anomaly
179,193,245,anomaly
149,168,213,anomaly
91,90,39,normal
54,55,21,normal
84,82,28,normal
126,126,126,normal
139,138,80,normal
179,180,138,normal
141,120,99,normal
0,0,4,normal
170,168,120,normal
177,175,134,normal
128,131,86,normal
142,144,102,normal
97,94,43,normal
198,196,162,normal
173,172,121,normal
165,169,134,normal
239,120,88,normal
37,33,9,normal
159,163,128,normal
71,74,25,normal
147,150,100,normal
181,181,133,normal
142,141,97,normal
112,151,213,anomaly
204,202,168,normal
143,177,255,normal
155,158,103,normal
140,139,88,normal
180,180,134,normal
198,198,158,normal
193,192,154,normal
160,168,115,normal
127,130,81,normal
167,167,119,normal
179,177,129,normal
59,63,22,normal
208,219,255,anomaly
98,95,40,normal
96,89,150,normal
88,121,190,anomaly
170,171,127,normal
55,60,21,normal
199,197,162,normal
145,146,96,normal
172,167,128,normal
99,136,188,anomaly
183,180,135,normal
205,204,170,normal
130,159,226,anomaly
49,52,13,normal
168,166,112,normal
31,14,147,normal
134,164,229,anomaly
55,56,22,normal
97,134,184,anomaly
0,0,255,normal
176,172,124,normal
172,168,120,normal
120,159,211,anomaly
28,27,7,normal
127,131,249,normal
185,184,140,normal
15,6,186,normal
44,111,180,anomaly
36,0,144,normal
57,60,44,normal
176,174,126,normal
233,188,154,normal
203,201,166,normal
177,177,129,normal
101,102,46,normal
176,174,126,normal
172,171,127,normal
157,161,126,normal
255,253,255,normal
56,56,40,normal
62,67,22,normal
209,217,254,anomaly
164,179,228,anomaly
163,163,109,normal
47,91,138,anomaly
53,23,230,normal
22,19,4,normal
160,163,124,normal
255,255,255,normal
36,35,9,normal
224,68,45,normal
176,175,125,normal
138,138,92,normal
183,181,140,normal
54,98,145,anomaly
176,192,235,anomaly
198,195,157,normal
170,171,127,normal
94,138,215,anomaly
98,97,113,normal
242,175,166,normal
139,137,83,normal
127,174,230,anomaly
16,14,13,normal
120,1,123,normal
184,182,134,normal
