Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,class
HAP3_YEAST,0.28,0.51,0.55,0.11,0.5,0.0,0.46,0.22,normal
HAP4_YEAST,0.56,0.57,0.63,0.39,1.0,0.0,0.59,0.4,normal
HBS1_YEAST,0.21,0.38,0.49,0.16,0.5,0.0,0.51,0.45,normal
HCM1_YEAST,0.46,0.57,0.57,0.15,0.5,0.0,0.52,0.26,normal
HDF1_YEAST,0.43,0.42,0.54,0.22,0.5,0.0,0.57,0.33,normal
HEM1_YEAST,0.57,0.59,0.5,0.58,0.5,0.0,0.53,0.22,normal
DCUP_YEAST,0.48,0.34,0.47,0.14,0.5,0.0,0.47,0.26,normal
HEM6_YEAST,0.35,0.4,0.53,0.18,0.5,0.0,0.42,0.38,normal
HEMZ_YEAST,0.47,0.45,0.53,0.62,0.5,0.0,0.46,0.22,normal
HEM2_YEAST,0.53,0.43,0.47,0.15,0.5,0.0,0.58,0.22,normal
HEM3_YEAST,0.46,0.45,0.56,0.16,0.5,0.0,0.56,0.22,normal
HEX2_YEAST,0.44,0.42,0.62,0.14,0.5,0.0,0.55,0.37,normal
H4_YEAST,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,normal
H4_YEAST,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,normal
H3_YEAST,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,normal
H3_YEAST,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,normal
HIR1_YEAST,0.48,0.57,0.5,0.09,0.5,0.0,0.52,0.42,normal
HIR2_YEAST,0.61,0.57,0.45,0.21,0.5,0.0,0.5,0.42,normal
HIS7_YEAST,0.56,0.44,0.56,0.19,0.5,0.0,0.54,0.22,normal
MAT1_YEAST,0.37,0.22,0.64,0.35,0.5,0.0,0.47,0.22,normal
MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,normal
MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0.0,0.51,0.22,normal
MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,normal
HO_YEAST,0.53,0.53,0.53,0.17,0.5,0.0,0.49,0.37,normal
HOP1_YEAST,0.29,0.68,0.47,0.26,0.5,0.0,0.47,0.37,normal
HPR1_YEAST,0.5,0.45,0.49,0.15,0.5,0.0,0.55,0.43,normal
HR25_YEAST,0.43,0.39,0.51,0.28,0.5,0.0,0.4,0.22,normal
HS83_YEAST,0.61,0.54,0.49,0.16,0.5,0.0,0.54,0.42,normal
HSF_YEAST,0.34,0.35,0.61,0.19,0.5,0.0,0.52,0.25,normal
CH10_YEAST,0.55,0.53,0.56,0.29,0.5,0.0,0.48,0.22,normal
H104_YEAST,0.66,0.62,0.52,0.17,0.5,0.0,0.49,0.22,normal
HS26_YEAST,0.44,0.41,0.58,0.2,0.5,0.0,0.57,0.25,normal
HS60_YEAST,0.45,0.56,0.51,0.64,0.5,0.0,0.54,0.22,normal
HSP7_YEAST,0.38,0.46,0.52,0.75,0.5,0.0,0.5,0.26,normal
HS82_YEAST,0.61,0.54,0.49,0.19,0.5,0.0,0.54,0.47,normal
H2A1_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,normal
H2A2_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,normal
H2B1_YEAST,0.32,0.34,0.61,0.17,0.5,0.0,0.52,0.32,normal
H2B2_YEAST,0.34,0.34,0.61,0.18,0.5,0.0,0.52,0.32,normal
SYH_YEAST,0.51,0.68,0.49,0.59,0.5,0.0,0.54,0.27,normal
HXKA_YEAST,0.41,0.3,0.49,0.28,0.5,0.0,0.54,0.22,normal
HXKB_YEAST,0.41,0.43,0.5,0.28,0.5,0.0,0.5,0.22,normal
IDH1_YEAST,0.53,0.56,0.49,0.46,0.5,0.0,0.52,0.22,normal
IDH2_YEAST,0.45,0.54,0.54,0.62,0.5,0.0,0.53,0.22,normal
IPPI_YEAST,0.51,0.43,0.63,0.18,0.5,0.0,0.52,0.22,normal
IDHP_YEAST,0.51,0.52,0.48,0.5,0.5,0.0,0.51,0.22,normal
IF2M_YEAST,0.55,0.49,0.5,0.46,0.5,0.0,0.52,0.25,normal
SYI_YEAST,0.5,0.46,0.52,0.16,0.5,0.0,0.52,0.26,normal
THDH_YEAST,0.5,0.53,0.45,0.44,0.5,0.0,0.49,0.22,normal
ILVB_YEAST,0.45,0.59,0.53,0.74,0.5,0.0,0.47,0.25,normal
ILV5_YEAST,0.57,0.61,0.55,0.67,0.5,0.0,0.48,0.22,normal
IME1_YEAST,0.54,0.45,0.62,0.13,0.5,0.0,0.52,0.26,normal
IMP1_YEAST,0.67,0.51,0.53,0.28,0.5,0.0,0.51,0.22,normal
IMP2_YEAST,0.35,0.49,0.47,0.22,0.5,0.0,0.5,0.28,normal
IATP_YEAST,0.47,0.63,0.66,0.45,0.5,0.0,0.37,0.11,normal
INO1_YEAST,0.51,0.34,0.43,0.18,0.5,0.0,0.48,0.25,normal
INO2_YEAST,0.56,0.45,0.59,0.14,0.5,0.0,0.51,0.26,normal
INO4_YEAST,0.45,0.38,0.59,0.18,0.5,0.0,0.44,0.45,normal
IPYR_YEAST,0.43,0.51,0.6,0.25,0.5,0.0,0.55,0.22,normal
IS42_YEAST,0.58,0.55,0.52,0.22,0.5,0.0,0.44,0.22,normal
ISP6_YEAST,0.59,0.57,0.46,0.14,0.5,0.0,0.52,0.22,normal
IXR1_YEAST,0.42,0.32,0.61,0.13,0.5,0.0,0.14,0.27,normal
YJ16_YEAST,0.5,0.45,0.49,0.3,0.5,0.0,0.47,0.4,normal
ACOX_YEAST,0.46,0.41,0.5,0.44,0.5,0.0,0.53,0.22,normal
JNM1_YEAST,0.42,0.25,0.6,0.14,0.5,0.0,0.45,0.22,normal
KAR1_YEAST,0.23,0.34,0.41,0.28,0.5,0.0,0.5,0.27,normal
GR78_YEAST,0.85,0.56,0.33,0.38,1.0,0.0,0.55,0.25,anomaly
KAR3_YEAST,0.34,0.31,0.6,0.37,0.5,0.0,0.5,0.3,normal
KEM1_YEAST,0.59,0.53,0.47,0.26,0.5,0.0,0.53,0.31,normal
ODO1_YEAST,0.54,0.51,0.54,0.52,0.5,0.0,0.47,0.25,normal
ODO2_YEAST,0.53,0.5,0.54,0.56,0.5,0.0,0.49,0.41,normal
KI28_YEAST,0.57,0.49,0.48,0.16,0.5,0.0,0.51,0.22,normal
KIP1_YEAST,0.43,0.52,0.53,0.52,1.0,0.0,0.49,0.22,normal
KIP2_YEAST,0.38,0.49,0.54,1.0,0.5,0.0,0.5,0.27,normal
SMI1_YEAST,0.43,0.32,0.56,0.27,0.5,0.0,0.47,0.27,normal
KR11_YEAST,0.27,0.56,0.56,0.18,0.5,0.0,0.52,0.22,normal
KRE5_YEAST,0.86,0.92,0.5,0.37,1.0,0.0,0.53,0.32,anomaly
SYKC_YEAST,0.43,0.45,0.54,0.14,0.5,0.0,0.5,0.31,normal
KSS1_YEAST,0.52,0.48,0.54,0.28,0.5,0.0,0.54,0.22,normal
MSF1_YEAST,0.36,0.44,0.57,0.18,0.5,0.0,0.42,0.22,normal
BLH1_YEAST,0.52,0.48,0.58,0.55,0.5,0.0,0.48,0.22,normal
LAS1_YEAST,0.43,0.38,0.51,0.24,0.5,0.0,0.46,0.33,normal
ODP2_YEAST,0.48,0.57,0.52,0.61,0.5,0.0,0.51,0.22,normal
LEU2_YEAST,0.51,0.43,0.47,0.19,0.5,0.0,0.52,0.37,normal
LEU3_YEAST,0.54,0.54,0.49,0.14,0.5,0.0,0.56,0.22,normal
LEUR_YEAST,0.44,0.41,0.44,0.13,0.5,0.0,0.49,0.42,normal
LEU1_YEAST,0.52,0.62,0.54,0.19,0.5,0.0,0.5,0.22,normal
LIP5_YEAST,0.68,0.5,0.55,0.65,0.5,0.0,0.46,0.31,normal
LOS1_YEAST,0.53,0.44,0.47,0.22,0.5,0.0,0.53,0.22,normal
DLDH_YEAST,0.48,0.48,0.5,0.47,0.5,0.0,0.55,0.22,normal
LYS1_YEAST,0.5,0.45,0.48,0.17,0.5,0.0,0.5,0.26,normal
LY14_YEAST,0.44,0.53,0.43,0.17,0.5,0.0,0.54,0.75,normal
LYS2_YEAST,0.46,0.47,0.46,0.16,0.5,0.0,0.51,0.22,normal
MAC1_YEAST,0.52,0.49,0.57,0.57,0.5,0.0,0.51,0.22,normal
MAD1_YEAST,0.62,0.64,0.56,0.2,0.5,0.0,0.48,0.33,normal
MAG_YEAST,0.46,0.32,0.58,0.17,0.5,0.0,0.61,0.25,normal
MK16_YEAST,0.49,0.62,0.65,0.18,0.5,0.0,0.46,0.43,normal
MAK3_YEAST,0.5,0.34,0.62,0.19,0.5,0.0,0.57,0.22,normal
MA3S_YEAST,0.39,0.37,0.56,0.15,0.5,0.0,0.5,0.27,normal
MA3R_YEAST,0.33,0.37,0.54,0.28,0.5,0.0,0.53,0.27,normal
MA6R_YEAST,0.33,0.38,0.53,0.26,0.5,0.0,0.52,0.27,normal
AMPM_YEAST,0.48,0.51,0.57,0.24,0.5,0.0,0.5,0.22,normal
MPP2_YEAST,0.5,0.62,0.54,0.66,0.5,0.0,0.49,0.22,normal
MPP1_YEAST,0.47,0.54,0.54,0.48,0.5,0.0,0.53,0.26,normal
OM20_YEAST,0.72,0.58,0.42,0.28,0.5,0.0,0.48,0.22,normal
MAS6_YEAST,0.41,0.41,0.51,0.19,0.5,0.0,0.57,0.22,normal
OM70_YEAST,0.81,0.65,0.52,0.41,0.5,0.0,0.57,0.26,normal
MBP1_YEAST,0.5,0.49,0.52,0.2,0.5,0.0,0.43,0.52,normal
MCM1_YEAST,0.18,0.48,0.46,0.12,0.5,0.0,0.0,0.25,normal
MCM2_YEAST,0.26,0.38,0.52,0.36,0.5,0.0,0.48,0.56,normal
MCM3_YEAST,0.53,0.51,0.51,0.11,0.5,0.0,0.49,0.41,normal
MDHM_YEAST,0.58,0.49,0.5,0.41,0.5,0.0,0.57,0.22,normal
MDHC_YEAST,0.62,0.6,0.47,0.16,0.5,0.0,0.53,0.22,normal
MDJ1_YEAST,0.4,0.52,0.53,0.52,0.5,0.0,0.51,0.22,normal
MDM1_YEAST,0.49,0.44,0.45,0.22,0.5,0.0,0.51,0.22,normal
MD10_YEAST,0.32,0.47,0.55,0.25,0.5,0.0,0.49,0.22,normal
MDS1_YEAST,0.46,0.57,0.52,0.28,0.5,0.0,0.52,0.22,normal
EFG1_YEAST,0.53,0.48,0.45,0.44,0.5,0.0,0.49,0.27,normal
EFG2_YEAST,0.49,0.48,0.46,0.63,0.5,0.0,0.52,0.22,normal
MEIX_YEAST,0.7,0.53,0.42,0.22,0.5,0.0,0.51,0.28,normal
MER1_YEAST,0.55,0.49,0.45,0.18,0.5,0.0,0.49,0.22,normal
MER2_YEAST,0.4,0.53,0.61,0.21,0.5,0.0,0.48,0.33,normal
SYMC_YEAST,0.57,0.44,0.42,0.2,0.5,0.0,0.54,0.22,normal
MET2_YEAST,0.4,0.47,0.48,0.18,0.5,0.0,0.46,0.22,normal
MT17_YEAST,0.34,0.54,0.54,0.13,0.5,0.0,0.52,0.22,normal
MT28_YEAST,0.43,0.83,0.55,0.2,0.5,0.0,0.47,0.4,normal
MET4_YEAST,0.55,0.65,0.5,0.28,0.5,0.0,0.55,0.22,normal
METE_YEAST,0.29,0.46,0.54,0.27,0.5,0.0,0.49,0.22,normal
GRPE_YEAST,0.45,0.48,0.63,0.67,0.5,0.0,0.48,0.22,normal
MGM1_YEAST,0.66,0.52,0.52,0.44,0.5,0.0,0.56,0.27,normal
M101_YEAST,0.5,0.49,0.59,0.47,0.5,0.0,0.49,0.36,normal
MGMT_YEAST,0.54,0.52,0.54,0.2,0.5,0.0,0.55,0.25,normal
MIF2_YEAST,0.37,0.31,0.53,0.16,0.5,0.0,0.53,0.44,normal
MIG1_YEAST,0.43,0.39,0.59,0.13,0.5,0.0,0.41,0.43,normal
DPOG_YEAST,0.48,0.47,0.54,0.55,0.5,0.0,0.51,0.65,normal
MPCP_YEAST,0.6,0.59,0.45,0.23,0.5,0.0,0.55,0.22,normal
C1TM_YEAST,0.45,0.73,0.47,0.65,0.5,0.0,0.54,0.43,normal
MLH1_YEAST,0.66,0.54,0.49,0.16,0.5,0.0,0.54,0.36,normal
MLP1_YEAST,0.46,0.55,0.61,0.13,0.5,0.0,0.47,0.22,normal
MOD5_YEAST,0.67,0.51,0.54,0.21,0.5,0.0,0.43,0.3,normal
MOT1_YEAST,0.58,0.46,0.46,0.34,0.5,0.0,0.5,0.43,normal
MPI1_YEAST,0.4,0.68,0.5,0.82,0.5,0.0,0.44,0.36,normal
MPI2_YEAST,0.59,0.57,0.43,0.26,0.5,0.0,0.51,0.22,normal
MR11_YEAST,0.39,0.3,0.56,0.12,0.5,0.0,0.53,0.38,normal
RF1M_YEAST,0.6,0.62,0.54,0.4,0.5,0.0,0.5,0.22,normal
RT01_YEAST,0.36,0.4,0.53,0.48,0.5,0.0,0.48,0.22,normal
RT13_YEAST,0.51,0.42,0.56,0.38,0.5,0.0,0.46,0.22,normal
RT17_YEAST,0.41,0.54,0.58,0.2,0.5,0.0,0.52,0.22,normal
RT02_YEAST,0.57,0.4,0.62,0.3,0.5,0.0,0.48,0.11,normal
RM41_YEAST,0.52,0.5,0.59,0.31,0.5,0.0,0.5,0.22,normal
RT04_YEAST,0.42,0.53,0.53,0.64,0.5,0.0,0.47,0.22,normal
RM49_YEAST,0.5,0.46,0.64,0.36,0.5,0.0,0.49,0.22,normal
RM02_YEAST,0.6,0.51,0.6,0.38,0.5,0.83,0.52,0.24,normal
RT08_YEAST,0.45,0.38,0.64,0.14,0.5,0.0,0.54,0.22,normal
RM13_YEAST,0.6,0.57,0.64,0.52,0.5,0.0,0.47,0.28,normal
RM16_YEAST,0.53,0.42,0.58,0.29,0.5,0.0,0.5,0.22,normal
RM20_YEAST,0.41,0.52,0.53,0.41,0.5,0.0,0.39,0.33,normal
RM25_YEAST,0.45,0.43,0.63,0.4,0.5,0.0,0.59,0.11,normal
RM27_YEAST,0.44,0.44,0.67,0.35,0.5,0.0,0.48,0.26,normal
RM31_YEAST,0.58,0.52,0.61,0.33,0.5,0.0,0.38,0.11,normal
RM32_YEAST,0.57,0.61,0.55,0.27,0.5,0.0,0.44,0.21,normal
RM33_YEAST,0.57,0.58,0.58,0.35,0.5,0.0,0.49,0.22,normal
RM36_YEAST,0.64,0.64,0.56,0.21,0.5,0.0,0.5,0.22,normal
RM37_YEAST,0.56,0.5,0.61,0.49,0.5,0.0,0.46,0.28,normal
RM38_YEAST,0.6,0.46,0.59,0.16,0.5,0.0,0.49,0.22,normal
RM04_YEAST,0.36,0.38,0.56,0.44,0.5,0.0,0.48,0.22,normal
RM44_YEAST,0.53,0.52,0.61,0.35,0.5,0.0,0.5,0.22,normal
RM06_YEAST,0.62,0.59,0.54,0.47,0.5,0.0,0.46,0.22,normal
RM08_YEAST,0.55,0.5,0.6,0.31,0.5,0.0,0.46,0.27,normal
RM09_YEAST,0.58,0.53,0.57,0.46,0.5,0.0,0.51,0.27,normal
RT28_YEAST,0.65,0.53,0.55,0.52,0.5,0.0,0.47,0.27,normal
RT05_YEAST,0.38,0.54,0.54,0.41,0.5,0.0,0.51,0.22,normal
RT09_YEAST,0.58,0.53,0.5,0.53,0.5,0.0,0.47,0.31,normal
MRS1_YEAST,0.61,0.46,0.51,0.37,0.5,0.0,0.51,0.22,normal
MRS2_YEAST,0.55,0.59,0.47,0.64,0.5,0.0,0.54,0.33,normal
MRS3_YEAST,0.54,0.64,0.5,0.13,0.5,0.0,0.49,0.22,normal
MRS4_YEAST,0.4,0.74,0.49,0.16,0.5,0.0,0.51,0.22,normal
SYDM_YEAST,0.51,0.56,0.51,0.42,0.5,0.0,0.53,0.36,normal
SYFM_YEAST,0.43,0.32,0.5,0.29,0.5,0.0,0.5,0.22,normal
MSH1_YEAST,0.49,0.44,0.45,0.55,0.5,0.0,0.48,0.22,normal
MSH2_YEAST,0.32,0.45,0.44,0.2,0.5,0.0,0.55,0.33,normal
MSH3_YEAST,0.51,0.6,0.51,0.26,0.5,0.0,0.54,0.22,normal
MSH4_YEAST,0.49,0.46,0.42,0.46,0.5,0.0,0.55,0.22,normal
SYKM_YEAST,0.5,0.56,0.49,0.61,0.5,0.0,0.5,0.22,normal
SYMM_YEAST,0.51,0.48,0.51,0.43,0.5,0.0,0.49,0.22,normal
MSN1_YEAST,0.52,0.38,0.62,0.12,0.5,0.0,0.41,0.28,normal
MSN2_YEAST,0.53,0.4,0.57,0.12,0.5,0.0,0.53,0.32,normal
MSN4_YEAST,0.51,0.56,0.62,0.24,0.5,0.0,0.52,0.51,normal
MSP1_YEAST,0.63,0.6,0.5,0.27,0.5,0.0,0.55,0.22,normal
SYR_YEAST,0.46,0.44,0.53,0.31,0.5,0.0,0.48,0.22,normal
MSS1_YEAST,0.58,0.57,0.54,0.69,0.5,0.0,0.54,0.22,normal
MS16_YEAST,0.61,0.59,0.47,0.49,0.5,0.0,0.54,0.22,normal
MS18_YEAST,0.63,0.47,0.56,0.12,0.5,0.0,0.5,0.22,normal
MS51_YEAST,0.55,0.53,0.54,0.4,0.5,0.0,0.48,0.22,normal
SYTM_YEAST,0.41,0.47,0.58,0.62,0.5,0.0,0.5,0.22,normal
SYWM_YEAST,0.44,0.53,0.53,0.37,0.5,0.0,0.51,0.22,normal
MTD1_YEAST,0.57,0.4,0.48,0.24,0.5,0.0,0.55,0.22,normal
MTF1_YEAST,0.46,0.46,0.56,0.12,0.5,0.0,0.55,0.22,normal
RU1A_YEAST,0.47,0.46,0.55,0.28,0.5,0.0,0.44,0.46,normal
YKH4_YEAST,0.39,0.35,0.49,0.17,0.5,0.0,0.49,0.22,normal
MYS1_YEAST,0.58,0.38,0.4,0.21,0.5,0.0,0.5,0.22,normal
MYS2_YEAST,0.53,0.41,0.5,0.24,1.0,0.0,0.47,0.22,normal
MYS4_YEAST,0.43,0.4,0.5,0.18,0.5,0.0,0.5,0.28,normal
YN46_YEAST,0.58,0.56,0.52,0.25,0.5,0.0,0.57,0.35,normal
NAB1_YEAST,0.49,0.6,0.55,0.17,0.5,0.0,0.44,0.22,normal
NAB2_YEAST,0.56,0.63,0.52,0.2,0.5,0.0,0.34,0.26,normal
NAB3_YEAST,0.42,0.28,0.57,0.18,0.5,0.0,0.42,0.22,normal
NAM1_YEAST,0.51,0.46,0.54,0.41,0.5,0.0,0.53,0.22,normal
SYLM_YEAST,0.6,0.51,0.52,0.45,0.5,0.0,0.5,0.27,normal
NAM7_YEAST,0.37,0.41,0.45,0.14,0.5,0.0,0.47,0.22,normal
NAM9_YEAST,0.37,0.51,0.57,0.4,0.5,0.0,0.48,0.27,normal
NAP1_YEAST,0.36,0.39,0.55,0.26,0.5,0.0,0.49,0.22,normal
NAT1_YEAST,0.5,0.36,0.53,0.41,0.5,0.0,0.55,0.36,normal
NAT2_YEAST,0.59,0.58,0.39,0.52,0.5,0.0,0.5,0.31,normal
NDC1_YEAST,0.47,0.59,0.37,0.31,0.5,0.0,0.51,0.36,normal
CB31_YEAST,0.48,0.62,0.52,0.3,0.5,0.0,0.51,0.37,normal
NDI1_YEAST,0.53,0.61,0.51,0.49,0.5,0.0,0.54,0.27,normal
NFS1_YEAST,0.48,0.54,0.53,0.6,0.5,0.0,0.53,0.31,normal
ADA3_YEAST,0.33,0.46,0.53,0.29,0.5,0.0,0.5,0.55,normal
NHP2_YEAST,0.36,0.44,0.51,0.17,0.5,0.0,0.6,0.19,normal
NHPA_YEAST,0.39,0.34,0.68,0.3,0.5,0.0,0.5,0.29,normal
NHPB_YEAST,0.11,0.41,0.67,0.13,0.5,0.0,0.45,0.29,normal
NI96_YEAST,0.4,0.53,0.44,0.18,0.5,0.0,0.54,0.31,normal
NIN1_YEAST,0.47,0.5,0.55,0.19,0.5,0.0,0.62,0.22,normal
NIP1_YEAST,0.35,0.5,0.44,0.27,0.5,0.0,0.51,0.22,normal
NMD2_YEAST,0.36,0.3,0.5,0.19,0.5,0.0,0.55,0.3,normal
NMT_YEAST,0.49,0.44,0.51,0.18,0.5,0.0,0.52,0.27,normal
FBRL_YEAST,0.35,0.44,0.54,0.26,0.5,0.0,0.52,0.26,normal
NOP2_YEAST,0.43,0.28,0.53,0.34,0.5,0.0,0.55,0.57,normal
NOP4_YEAST,0.33,0.48,0.55,0.16,0.5,0.0,0.53,0.75,normal
NOT3_YEAST,0.45,0.21,0.49,0.24,0.5,0.0,0.46,0.31,normal
NOP3_YEAST,0.44,0.34,0.61,0.13,0.5,0.0,0.49,0.26,normal
NSP1_YEAST,0.87,0.47,0.6,0.47,0.5,0.0,0.59,0.22,normal
NSR1_YEAST,0.3,0.55,0.58,0.16,0.5,0.0,0.61,0.28,normal
TREA_YEAST,0.29,0.34,0.55,0.24,0.5,0.0,0.51,0.22,normal
NUC1_YEAST,0.75,0.67,0.51,0.29,0.5,0.0,0.52,0.36,normal
RNC1_YEAST,0.47,0.47,0.5,0.15,0.5,0.0,0.5,0.48,normal
NUF1_YEAST,0.51,0.34,0.49,0.16,0.5,0.0,0.53,0.21,normal
NUF2_YEAST,0.64,0.76,0.51,0.18,0.5,0.0,0.46,0.22,normal
NUP1_YEAST,0.45,0.41,0.58,0.48,0.5,0.0,0.53,0.64,normal
N100_YEAST,0.9,0.54,0.59,0.2,0.5,0.0,0.48,0.22,normal
N116_YEAST,0.88,0.59,0.54,0.39,0.5,0.0,0.41,0.3,normal
YK62_YEAST,0.7,0.51,0.47,0.24,0.5,0.0,0.53,0.25,normal
NUP2_YEAST,0.25,0.36,0.58,0.3,0.5,0.0,0.58,0.31,normal
NU49_YEAST,0.69,0.62,0.49,0.0,1.0,0.0,0.47,0.22,normal
ATP9_YEAST,0.78,0.65,0.4,0.16,0.5,0.0,0.63,0.22,normal
ATP6_YEAST,0.52,0.64,0.34,0.16,0.5,0.0,0.57,0.22,normal
OM45_YEAST,0.75,0.66,0.64,0.39,0.5,0.0,0.46,0.32,normal
PORI_YEAST,0.41,0.49,0.58,0.22,0.5,0.0,0.52,0.22,normal
OPI1_YEAST,0.58,0.51,0.56,0.16,0.5,0.0,0.34,0.22,normal
ORC2_YEAST,0.39,0.42,0.49,0.1,0.5,0.0,0.49,0.65,normal
YHR8_YEAST,0.31,0.42,0.48,0.17,0.5,0.0,0.49,0.53,normal
YM38_YEAST,0.39,0.28,0.54,0.14,0.5,0.0,0.59,0.22,normal
PABP_YEAST,0.28,0.48,0.56,0.16,0.5,0.0,0.48,0.26,normal
PAN1_YEAST,0.69,0.39,0.52,0.12,0.5,0.0,0.38,0.35,normal
PAP_YEAST,0.64,0.52,0.5,0.26,0.5,0.0,0.51,0.31,normal
PAS1_YEAST,0.56,0.48,0.5,0.3,0.5,0.0,0.51,0.22,normal
IPB2_YEAST,0.45,0.46,0.61,0.2,0.5,0.0,0.62,0.22,normal
ODPA_YEAST,0.6,0.54,0.54,0.53,0.5,0.0,0.52,0.27,normal
ODPB_YEAST,0.49,0.52,0.53,0.7,0.5,0.0,0.51,0.22,normal
DCP1_YEAST,0.49,0.45,0.53,0.16,0.5,0.0,0.49,0.31,normal
PDC2_YEAST,0.51,0.46,0.57,0.25,0.5,0.0,0.53,0.22,normal
DCP2_YEAST,0.49,0.45,0.46,0.18,0.5,0.0,0.49,0.31,normal
DCP3_YEAST,0.52,0.46,0.51,0.18,0.5,0.0,0.5,0.22,normal
CNA1_YEAST,0.55,0.59,0.52,0.1,0.5,0.0,0.53,0.22,normal
CNA2_YEAST,0.39,0.58,0.5,0.1,0.5,0.0,0.51,0.25,normal
PDI_YEAST,0.7,0.84,0.49,0.28,1.0,0.0,0.58,0.22,anomaly
PDR1_YEAST,0.33,0.38,0.45,0.19,0.5,0.0,0.54,0.37,normal
PDR3_YEAST,0.61,0.46,0.44,0.47,0.5,0.0,0.5,0.37,normal
PDS1_YEAST,0.37,0.42,0.6,0.13,0.5,0.0,0.51,0.22,normal
ODPX_YEAST,0.45,0.58,0.59,0.44,0.5,0.0,0.56,0.22,normal
PES4_YEAST,0.67,0.46,0.58,0.3,0.5,0.0,0.57,0.27,normal
PT11_YEAST,0.5,0.32,0.49,0.49,0.5,0.0,0.48,0.32,normal
PT12_YEAST,0.45,0.53,0.47,0.43,0.5,0.0,0.5,0.27,normal
PT17_YEAST,0.75,0.6,0.43,0.35,0.5,0.0,0.45,0.27,normal
PT22_YEAST,0.56,0.68,0.52,0.39,0.5,0.0,0.36,0.22,normal
RTPT_YEAST,0.48,0.45,0.59,0.35,0.5,0.0,0.55,0.3,normal
PT27_YEAST,0.26,0.28,0.6,0.2,0.5,0.0,0.54,0.31,normal
PT91_YEAST,0.59,0.45,0.58,0.21,0.5,0.0,0.49,0.22,normal
PT09_YEAST,0.48,0.52,0.49,0.35,0.5,0.5,0.51,0.22,normal
PT94_YEAST,0.59,0.58,0.47,0.61,0.5,0.0,0.44,0.3,normal
PT54_YEAST,0.5,0.57,0.62,0.25,0.5,0.0,0.51,0.22,normal
K6P1_YEAST,0.57,0.49,0.5,0.2,0.5,0.0,0.51,0.28,normal
K6P2_YEAST,0.62,0.43,0.49,0.29,0.5,0.0,0.5,0.27,normal
6P2K_YEAST,0.45,0.41,0.49,0.14,1.0,0.0,0.53,0.3,normal
PROF_YEAST,0.47,0.49,0.6,0.15,0.5,0.0,0.38,0.22,normal
PGD1_YEAST,0.41,0.48,0.54,0.24,0.5,0.0,0.37,0.51,normal
G6PI_YEAST,0.46,0.46,0.53,0.23,0.5,0.0,0.51,0.22,normal
PGK_YEAST,0.48,0.42,0.48,0.19,0.5,0.0,0.58,0.22,normal
PGM1_YEAST,0.43,0.45,0.53,0.19,0.5,0.0,0.56,0.22,normal
PGM2_YEAST,0.28,0.36,0.55,0.15,0.5,0.0,0.57,0.22,normal
PHD1_YEAST,0.48,0.46,0.58,0.26,0.5,0.0,0.44,0.22,normal
PNPP_YEAST,0.38,0.62,0.52,0.14,0.5,0.0,0.53,0.22,normal
PHO4_YEAST,0.44,0.42,0.57,0.22,0.5,0.0,0.5,0.25,normal
PH80_YEAST,0.53,0.54,0.43,0.18,0.5,0.0,0.53,0.31,normal
PH85_YEAST,0.4,0.37,0.54,0.13,0.5,0.0,0.48,0.22,normal
PHR_YEAST,0.5,0.42,0.57,0.49,0.5,0.0,0.48,0.27,normal
PIF1_YEAST,0.59,0.61,0.51,0.62,0.5,0.0,0.51,0.38,normal
PIK1_YEAST,0.45,0.4,0.43,0.22,0.5,0.0,0.51,0.48,normal
LONM_YEAST,0.47,0.54,0.53,0.77,0.5,0.0,0.52,0.36,normal
MANA_YEAST,0.55,0.51,0.54,0.2,0.5,0.0,0.56,0.22,normal
PMS1_YEAST,0.38,0.48,0.51,0.13,0.5,0.0,0.5,0.32,normal
POB1_YEAST,0.49,0.48,0.52,0.2,0.5,0.0,0.55,0.22,normal
DPOA_YEAST,0.36,0.39,0.54,0.16,0.5,0.0,0.5,0.28,normal
DPO2_YEAST,0.54,0.53,0.48,0.14,0.5,0.0,0.49,0.33,normal
DPOE_YEAST,0.37,0.48,0.5,0.26,0.5,0.0,0.52,0.39,normal
DPOD_YEAST,0.25,0.39,0.5,0.23,0.5,0.0,0.5,0.28,normal
PCNA_YEAST,0.49,0.71,0.54,0.13,0.5,0.0,0.58,0.22,normal
DPO4_YEAST,0.56,0.5,0.56,0.26,0.5,0.0,0.53,0.27,normal
P152_YEAST,0.41,0.53,0.41,0.15,0.5,0.0,0.54,0.25,normal
POP2_YEAST,0.5,0.45,0.53,0.21,0.5,0.0,0.28,0.22,normal
IPY2_YEAST,0.42,0.65,0.58,0.34,0.5,0.0,0.5,0.22,normal
